ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS92_1A,PS92_1M,PS92_1S,PS1
2021,      002602401,4,26,24,1,4,0,2,1
2021,      003409601,2,34,96,1,0,3,2,1
2021,      004905401,3,49,54,1,1,0,2,1
2021,      006011001,2,60,110,1,3,4,2,1
2021,      010307201,3,103,72,1,1,0,2,1
2021,      012710401,6,127,104,1,0,1,2,1
2021,      013506901,3,135,69,1,0,1,2,1
2021,      015010801,3,150,108,1,0,1,2,1
2021,      016708601,5,167,86,1,2,4,2,1
2021,      024406401,3,244,64,1,0,6,2,1
2021,      026203801,5,262,38,1,0,3,2,1
2021,      035406802,2,354,68,2,3,0,2,1
2021,      035414101,4,354,141,1,2,6,2,1
2021,      037501901,4,375,19,1,2,4,2,1
2021,      038002701,3,380,27,1,5,0,2,1
2021,      048602501,3,486,25,1,1,0,2,1
2021,      048604801,3,486,48,1,3,0,2,1
2021,      054403301,4,544,33,1,1,6,2,1
2021,      067306601,1,673,66,1,0,4,2,1
2021,      067601801,3,676,18,1,0,10,2,1
2021,      078801101,2,788,11,1,2,6,2,1
2021,      096805702,1,968,57,2,2,6,2,1
2021,      103402501,3,1034,25,1,0,8,2,1
2021,      104108201,3,1041,82,1,1,6,2,1
2021,      112501301,3,1125,13,1,1,1,2,1
2021,      117901901,4,1179,19,1,0,5,2,1
2021,      137402701,3,1374,27,1,1,4,2,1
2021,      165203501,3,1652,35,1,4,5,2,1
2021,      176306701,2,1763,67,1,0,3,2,1
2021,      177505201,4,1775,52,1,3,5,2,1
2021,      178004201,3,1780,42,1,1,0,2,1
2021,      189701101,2,1897,11,1,0,6,2,1
2021,      195619201,2,1956,192,1,0,2,2,1
2021,      200605501,2,2006,55,1,0,1,2,1
2021,      204901501,2,2049,15,1,1,4,2,1
2021,      206800501,1,2068,5,1,1,3,2,1
2021,      208005401,2,2080,54,1,3,7,2,1
2021,      209407901,3,2094,79,1,1,3,2,1
2021,      222800501,3,2228,5,1,1,2,2,1
2021,      223206101,4,2232,61,1,1,6,2,1
2021,      229309201,2,2293,92,1,1,0,2,1
2021,      230603601,3,2306,36,1,2,0,2,1
2021,      255016801,2,2550,168,1,1,11,2,1
2021,      257612901,3,2576,129,1,0,3,2,1
2021,      259603001,2,2596,30,1,3,0,2,1
2021,      275303201,4,2753,32,1,3,8,2,1
2021,      280501001,6,2805,10,1,3,5,2,1
2021,      286011601,5,2860,116,1,1,9,2,1
2021,      287306201,4,2873,62,1,4,6,2,1
2021,      296101601,2,2961,16,1,1,0,2,1
2021,      299002101,1,2990,21,1,1,6,2,1
2021,      305302001,4,3053,20,1,6,4,2,1
2021,      317306901,2,3173,69,1,2,0,2,1
